"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Code\2024\blank_app\src\components\FileUploader\UploadProgressList.tsx", "TypeScript JSX", 0, 0, 73, 0, 6, 79
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayChildDesignRenderer.tsx", "TypeScript JSX", 0, 0, 106, 0, 10, 116
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildCardDesign.tsx", "TypeScript JSX", 0, 0, 41, 0, 4, 45
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildListDesign.tsx", "TypeScript JSX", 0, 0, 44, 0, 4, 48
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildNoneDesign.tsx", "TypeScript JSX", 0, 0, 32, 0, 4, 36
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayChildDesigns\ArrayChildTableDesign.tsx", "TypeScript JSX", 0, 0, 76, 2, 7, 85
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayDesignRenderer.tsx", "TypeScript JSX", 0, 0, 117, 0, 11, 128
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayDesigns\DefaultCard.tsx", "TypeScript JSX", 0, 0, 40, 0, 4, 44
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayDesigns\FlatCard.tsx", "TypeScript JSX", 0, 0, 49, 0, 7, 56
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayDesigns\FlatOutsideCard.tsx", "TypeScript JSX", 0, 0, 50, 0, 7, 57
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayDesigns\ParentCard.tsx", "TypeScript JSX", 0, 0, 42, 0, 5, 47
"c:\Code\2024\blank_app\src\components\FormBuilder\Arrays\ArrayFieldRenderer.tsx", "TypeScript JSX", 0, 0, 114, 1, 15, 130
"c:\Code\2024\blank_app\src\components\FormBuilder\CombinedField.tsx", "TypeScript JSX", 0, 0, 65, 0, 8, 73
"c:\Code\2024\blank_app\src\components\FormBuilder\CustomModal.tsx", "TypeScript JSX", 0, 0, 36, 0, 4, 40
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\FieldDesignRenderer.tsx", "TypeScript JSX", 0, 0, 67, 0, 9, 76
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\FieldDesigns\FieldDefaultCard.tsx", "TypeScript JSX", 0, 0, 37, 0, 4, 41
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\FieldDesigns\FieldParentCard.tsx", "TypeScript JSX", 0, 0, 38, 0, 6, 44
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\FieldDesigns\FieldRow.tsx", "TypeScript JSX", 0, 0, 32, 0, 4, 36
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\FieldRenderer.tsx", "TypeScript JSX", 0, 0, 112, 0, 13, 125
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\GeneralInput.tsx", "TypeScript JSX", 0, 0, 117, 0, 9, 126
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\IconSelector.tsx", "TypeScript JSX", 0, 0, 60, 0, 4, 64
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\ImageSelector.tsx", "TypeScript JSX", 0, 0, 66, 0, 8, 74
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\LanguageJsonTextInput.tsx", "TypeScript JSX", 0, 0, 79, 0, 8, 87
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\LanguageJsonTextarea.tsx", "TypeScript JSX", 0, 0, 87, 0, 9, 96
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\ResponsiveImagesInput.tsx", "TypeScript JSX", 0, 0, 66, 3, 11, 80
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\RoleSelector.tsx", "TypeScript JSX", 0, 0, 95, 3, 13, 111
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\SizeInput.tsx", "TypeScript JSX", 0, 0, 56, 0, 7, 63
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\Inputs\SupportedLanguageSelector.tsx", "TypeScript JSX", 0, 0, 85, 2, 8, 95
"c:\Code\2024\blank_app\src\components\FormBuilder\Fields\extra\FieldTitle.tsx", "TypeScript JSX", 0, 0, 42, 0, 4, 46
"c:\Code\2024\blank_app\src\components\FormBuilder\InputStyle.ts", "TypeScript", 78, 0, 0, 0, 14, 92
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonChildDesignRenderer.tsx", "TypeScript JSX", 0, 0, 100, 0, 7, 107
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonDesignRenderer.tsx", "TypeScript JSX", 0, 0, 106, 0, 11, 117
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonDesigns\JsonDefaultCard.tsx", "TypeScript JSX", 0, 0, 38, 0, 5, 43
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonDesigns\JsonFlatCard.tsx", "TypeScript JSX", 0, 0, 50, 0, 6, 56
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonDesigns\JsonFlatOutsideCard.tsx", "TypeScript JSX", 0, 0, 49, 0, 6, 55
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonDesigns\JsonParentCard.tsx", "TypeScript JSX", 0, 0, 39, 0, 5, 44
"c:\Code\2024\blank_app\src\components\FormBuilder\Jsons\JsonFieldRenderer.tsx", "TypeScript JSX", 0, 0, 129, 3, 11, 143
"c:\Code\2024\blank_app\src\components\HeroSlider.css", "CSS", 0, 94, 0, 1, 13, 108
"c:\Code\2024\blank_app\src\components\HeroSlider.tsx", "TypeScript JSX", 0, 0, 78, 0, 8, 86
"c:\Code\2024\blank_app\src\components\ImageComponent.tsx", "TypeScript JSX", 0, 0, 38, 0, 6, 44
"c:\Code\2024\blank_app\src\components\LanguageSelector.tsx", "TypeScript JSX", 0, 0, 44, 0, 6, 50
"c:\Code\2024\blank_app\src\components\LanguageTextInput.tsx", "TypeScript JSX", 0, 0, 76, 0, 9, 85
"c:\Code\2024\blank_app\src\components\PageWrapper.tsx", "TypeScript JSX", 0, 0, 102, 2, 9, 113
"c:\Code\2024\blank_app\src\components\ProfileAvatar.tsx", "TypeScript JSX", 0, 0, 254, 9, 22, 285
"c:\Code\2024\blank_app\src\components\SendMailForm.tsx", "TypeScript JSX", 0, 0, 104, 0, 10, 114
"c:\Code\2024\blank_app\src\components\SocialLink.tsx", "TypeScript JSX", 0, 0, 21, 1, 5, 27
"c:\Code\2024\blank_app\src\components\SocialLinks.tsx", "TypeScript JSX", 0, 0, 48, 0, 6, 54
"c:\Code\2024\blank_app\src\components\SortableItem.tsx", "TypeScript JSX", 0, 0, 37, 0, 6, 43
